2007-01-12 03:45:00,EUR,Low Impact Expected,French Final CPI m/m,0.2%,0.1%,0.1%
2007-01-12 09:30:00,USD,High Impact Expected,Core Retail Sales m/m,1.0%,0.5%,1.1%
2007-01-12 09:30:00,USD,High Impact Expected,Retail Sales m/m,0.9%,0.6%,1.0%
2007-01-12 09:30:00,USD,Medium Impact Expected,Import Prices m/m,1.1%,0.5%,0.2%
2007-01-12 11:00:00,USD,Medium Impact Expected,Business Inventories m/m,0.4%,0.4%,0.2%
2007-01-12 15:00:00,USD,Medium Impact Expected,Federal Budget Balance,44.5B,25.6B,-75.6B
2007-01-14 19:30:00,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.3%,,0.2%
2007-01-14 19:50:00,JPY,Medium Impact Expected,Core Machinery Orders m/m,3.8%,4.2%,2.8%
2007-01-14 20:30:00,AUD,Medium Impact Expected,Home Loans m/m,-0.6%,0.0%,-0.2%
2007-01-14 22:00:00,CNY,Medium Impact Expected,New Loans,214B,,194B
2007-01-14 22:00:00,CNY,Low Impact Expected,M2 Money Supply y/y,16.9%,16.7%,16.8%
2007-01-15 05:00:00,EUR,Low Impact Expected,Italian Industrial Production m/m,-0.3%,0.3%,0.6%
2007-01-15 05:15:00,CNY,Low Impact Expected,Foreign Direct Investment ytd/y,4.2%,,2.1%
2007-01-15 05:30:00,EUR,Low Impact Expected,Sentix Investor Confidence,29.5,30.2,29.1
2007-01-15 05:30:00,GBP,High Impact Expected,PPI Input m/m,0.1%,0.2%,0.1%
2007-01-15 05:30:00,GBP,Low Impact Expected,ONS HPI y/y,8.9%,9.1%,8.6%
2007-01-15 05:30:00,GBP,Low Impact Expected,PPI Output m/m,0.2%,0.0%,0.0%
2007-01-15 06:00:00,EUR,Medium Impact Expected,Industrial Production m/m,0.2%,0.6%,-0.2%
2007-01-15 00:00:00,USD,Non-Economic,Bank Holiday,,,
2007-01-15 09:30:00,CAD,Low Impact Expected,New Motor Vehicle Sales m/m,3.0%,3.0%,-1.9%
2007-01-15 17:00:00,NZD,High Impact Expected,NZIER Business Confidence,3,,-19
2007-01-15 19:50:00,JPY,Low Impact Expected,PPI y/y,2.5%,2.5%,2.7%
2007-01-15 20:01:00,GBP,Medium Impact Expected,RICS House Price Balance,37%,46%,47%
2007-01-16 00:30:00,JPY,Low Impact Expected,Revised Industrial Production m/m,0.8%,0.7%,0.7%
2007-01-16 05:30:00,GBP,High Impact Expected,CPI y/y,3.0%,2.8%,2.7%
2007-01-16 05:30:00,GBP,Medium Impact Expected,Core CPI y/y,1.8%,1.7%,1.6%
2007-01-16 05:30:00,GBP,Low Impact Expected,RPI y/y,4.4%,4.2%,3.9%
2007-01-16 06:00:00,EUR,Medium Impact Expected,German ZEW Economic Sentiment,-3.6,-12.0,-19.0
2007-01-16 06:00:00,EUR,Low Impact Expected,ZEW Economic Sentiment,-1.8,-5.0,-3.0
2007-01-16 08:00:00,GBP,Medium Impact Expected,MPC Member Sentance Speaks,,,
2007-01-16 09:30:00,USD,Medium Impact Expected,Empire State Manufacturing Index,9.1,18.0,23.1
2007-01-16 10:00:00,CAD,High Impact Expected,BOC Rate Statement,,,
2007-01-16 10:00:00,CAD,High Impact Expected,Overnight Rate,4.25%,4.25%,4.25%
2007-01-16 17:45:00,NZD,High Impact Expected,CPI q/q,-0.2%,-0.1%,0.7%
2007-01-16 17:45:00,NZD,Low Impact Expected,FPI m/m,-0.5%,,0.1%
2007-01-16 19:30:00,AUD,Low Impact Expected,MI Leading Index m/m,0.5%,,0.5%
2007-01-16 19:50:00,JPY,Low Impact Expected,Current Account,1.95T,2.10T,2.02T
2007-01-17 01:00:00,JPY,Low Impact Expected,Consumer Confidence,45.9,48.0,48.7
2007-01-17 03:00:00,EUR,Low Impact Expected,German Final CPI m/m,0.8%,0.8%,0.8%
2007-01-17 05:30:00,GBP,High Impact Expected,Claimant Count Change,-5.5K,-5.0K,-7.9K
2007-01-17 05:30:00,GBP,Medium Impact Expected,Average Earnings Index 3m/y,4.1%,4.2%,4.1%
2007-01-17 05:30:00,GBP,Low Impact Expected,Unemployment Rate,5.5%,5.5%,5.5%
2007-01-17 06:00:00,EUR,Low Impact Expected,Final CPI y/y,1.9%,1.9%,1.9%
2007-01-17 06:00:00,EUR,Low Impact Expected,Final Core CPI y/y,1.5%,1.5%,1.5%
2007-01-17 06:00:00,EUR,Low Impact Expected,Trade Balance,4.5B,2.5B,2.4B
2007-01-17 09:30:00,USD,High Impact Expected,PPI m/m,0.9%,0.6%,2.0%
2007-01-17 09:30:00,USD,Medium Impact Expected,Core PPI m/m,0.2%,0.1%,1.3%
2007-01-17 10:00:00,USD,High Impact Expected,TIC Long-Term Purchases,68.4B,82.5B,89.3B
2007-01-17 10:15:00,USD,Medium Impact Expected,Capacity Utilization Rate,81.8%,81.8%,81.6%
2007-01-17 10:15:00,USD,Medium Impact Expected,Industrial Production m/m,0.4%,0.1%,-0.1%
2007-01-17 14:00:00,USD,Medium Impact Expected,FOMC Member Mishkin Speaks,,,
2007-01-17 14:00:00,USD,Low Impact Expected,NAHB Housing Market Index,35,33,33
2007-01-17 15:00:00,USD,Medium Impact Expected,Beige Book,,,
2007-01-17 19:50:00,JPY,Medium Impact Expected,Tertiary Industry Activity m/m,-0.3%,0.0%,2.1%
2007-01-17 20:30:00,AUD,Low Impact Expected,RBA Bulletin,,,
2007-01-17 23:45:00,JPY,Low Impact Expected,30-y Bond Auction,2.38|3.3,,2.52|3.0
2007-01-18 00:00:00,JPY,High Impact Expected,Overnight Call Rate,0.25%,0.50%,0.25%
2007-01-18 02:00:00,JPY,Low Impact Expected,BOJ Monthly Report,,,
2007-01-18 02:30:00,JPY,Medium Impact Expected,BOJ Press Conference,,,
2007-01-18 04:15:00,CHF,Medium Impact Expected,Retail Sales y/y,3.3%,1.6%,0.6%
2007-01-18 05:00:00,EUR,Low Impact Expected,Italian Trade Balance,-0.92B,-1.12B,-0.86B
2007-01-18 05:37:00,EUR,Low Impact Expected,Spanish 10-y Bond Auction,4.10|2.3,,3.99|1.8
2007-01-18 06:00:00,CHF,Medium Impact Expected,Credit Suisse Economic Expectations,-10.8,,-23.7
2007-01-18 06:00:00,EUR,Medium Impact Expected,ECB Monthly Bulletin,,,
2007-01-18 07:00:00,GBP,Medium Impact Expected,MPC Member Besley Speaks,,,
2007-01-18 09:30:00,CAD,Medium Impact Expected,Foreign Securities Purchases,11.00B,-2.48B,-4.18B
2007-01-18 09:30:00,CAD,Medium Impact Expected,Manufacturing Sales m/m,2.3%,2.0%,0.2%
2007-01-18 09:30:00,USD,High Impact Expected,Core CPI m/m,0.2%,0.2%,0.0%
2007-01-18 09:30:00,USD,Medium Impact Expected,Building Permits,1.60M,1.53M,1.51M
2007-01-18 09:30:00,USD,Medium Impact Expected,CPI m/m,0.5%,0.5%,0.0%
2007-01-18 09:30:00,USD,Medium Impact Expected,Housing Starts,1.64M,1.57M,1.57M
2007-01-18 09:30:00,USD,Low Impact Expected,Unemployment Claims,290K,315K,298K
2007-01-18 11:00:00,USD,High Impact Expected,Fed Chairman Bernanke Testifies,,,
2007-01-18 11:30:00,CAD,High Impact Expected,BOC Monetary Policy Report,,,
2007-01-18 11:30:00,USD,Low Impact Expected,Crude Oil Inventories,6.8M,0.1M,-5.0M
2007-01-18 11:30:00,USD,Low Impact Expected,Natural Gas Storage,-89B,-79B,-49B
2007-01-18 12:15:00,CAD,High Impact Expected,BOC Press Conference,,,
2007-01-18 13:00:00,USD,Medium Impact Expected,Philly Fed Manufacturing Index,8.3,3.0,-4.3
2007-01-18 17:45:00,NZD,High Impact Expected,Core Retail Sales m/m,-0.1%,0.1%,0.1%
2007-01-18 17:45:00,NZD,High Impact Expected,Retail Sales m/m,-0.2%,0.0%,0.3%
2007-01-18 20:30:00,AUD,Low Impact Expected,Import Prices q/q,-3.2%,-1.5%,-0.3%
2007-01-19 05:30:00,GBP,High Impact Expected,Retail Sales m/m,1.1%,0.5%,0.2%
2007-01-19 05:30:00,GBP,Low Impact Expected,M4 Money Supply m/m,0.9%,0.6%,0.5%
2007-01-19 05:30:00,GBP,Low Impact Expected,Public Sector Net Borrowing,7.2B,7.4B,11.2B
2007-01-19 09:30:00,CAD,Medium Impact Expected,Wholesale Sales m/m,0.1%,0.5%,-0.4%
2007-01-19 11:00:00,USD,High Impact Expected,Prelim UoM Consumer Sentiment,98.0,92.5,91.7
2007-01-19 11:00:00,USD,Low Impact Expected,Prelim UoM Inflation Expectations,3.0%,,2.9%
2007-01-21 20:01:00,GBP,Low Impact Expected,Rightmove HPI m/m,0.5%,,-0.3%
2007-01-21 20:30:00,AUD,High Impact Expected,PPI q/q,0.2%,0.2%,1.0%
2007-01-21 20:30:00,AUD,Low Impact Expected,New Motor Vehicle Sales m/m,0.8%,,-0.7%
2007-01-22 03:00:00,EUR,Low Impact Expected,German PPI m/m,0.0%,0.1%,0.0%
2007-01-22 04:15:00,CHF,Medium Impact Expected,PPI m/m,0.0%,0.1%,0.0%
2007-01-22 07:00:00,EUR,Medium Impact Expected,German Buba Monthly Report,,,
2007-01-23 02:45:00,EUR,Medium Impact Expected,French Consumer Spending m/m,1.3%,0.3%,0.9%
2007-01-23 06:00:00,EUR,Medium Impact Expected,Industrial New Orders m/m,1.4%,1.0%,-0.5%
2007-01-23 07:00:00,GBP,Medium Impact Expected,CBI Industrial Order Expectations,-9,-5,-5
2007-01-23 08:00:00,CAD,High Impact Expected,Core CPI m/m,-0.2%,0.0%,0.3%
2007-01-23 08:00:00,CAD,Medium Impact Expected,CPI m/m,0.2%,0.2%,0.2%
2007-01-23 09:30:00,CAD,High Impact Expected,Core Retail Sales m/m,0.1%,0.5%,-0.8%
2007-01-23 09:30:00,CAD,Medium Impact Expected,Retail Sales m/m,0.2%,0.9%,-0.8%
2007-01-23 09:30:00,CAD,Low Impact Expected,Leading Index m/m,0.3%,0.4%,0.5%
2007-01-23 11:00:00,USD,Low Impact Expected,CB Leading Index m/m,0.3%,0.2%,0.0%
2007-01-23 11:00:00,USD,Low Impact Expected,Richmond Manufacturing Index,-11,-8,-6
2007-01-23 15:00:00,GBP,Medium Impact Expected,BOE Gov King Speaks,,,
2007-01-23 19:00:00,AUD,Low Impact Expected,CB Leading Index m/m,0.2%,,0.3%
2007-01-23 19:50:00,JPY,Medium Impact Expected,Monetary Policy Meeting Minutes,,,
